"","MONTH","DAY","DRUNK_DR"
"309",9,26,47
"310",10,26,16
"311",11,26,30
"312",12,26,31
"313",1,27,10
"314",2,27,20
"315",3,27,21
"316",4,27,17
"317",5,27,27
"318",6,27,54
"319",7,27,18
"320",8,27,30
"321",9,27,45
"322",10,27,20
"323",11,27,17
"324",12,27,26
"325",1,28,20
"326",2,28,41
"327",3,28,34
"328",4,28,22
"329",5,28,29
"330",6,28,42
"331",7,28,18
"332",8,28,32
"333",9,28,14
"334",10,28,16
"335",11,28,38
"336",12,28,12
"337",1,29,13
"338",3,29,37
"339",4,29,15
"340",5,29,28
"341",6,29,17
"342",7,29,23
"343",8,29,49
"344",9,29,11
"345",10,29,22
"346",11,29,31
"347",12,29,15
"348",1,30,25
"349",3,30,17
"350",4,30,13
"351",5,30,36
"352",6,30,11
"353",7,30,17
"354",8,30,49
"355",9,30,20
"356",10,30,24
"357",11,30,11
"358",12,30,18
"359",1,31,44
"360",3,31,15
"361",5,31,37
"362",7,31,34
"363",8,31,12
"364",10,31,45
"365",12,31,20
