movieID	movieTitle	genres	rating
115	Gui mi (2014)	NO DATA	NO DATA
116	Insolação (2010)	Drama	5.7
117	Karma (2012)	Action, Adventure, Comedy	7.4
118	Breaking the Press (2010)	Drama	5.6
119	Duk dum dui (2003)	Adventure, Comedy, Fantasy	4
120	16 Blocks (2006)	Action, Crime, Drama	6.6
121	"Are You Afraid of the Dark?" The Tale of the Unexpected Visitor (1996)	NO DATA	NO DATA
122	"The Messengers" Spark of Hope (2015)	NO DATA	NO DATA
123	"The Messengers" Houston, We Have a Problem (2015)	NO DATA	NO DATA
124	The Winging Detective (2015)	Comedy, Fantasy	8.3
125	Bong Srolanh Oun (2015)	Horror	6.3
126	Road to Atlantis 2 (2004)	Adult	NO DATA
127	Virus (1999)	Horror, Sci-Fi, Thriller	5
128	August Rush (2007)	Drama, Music	7.5
129	Open Season 2 (2008)	Adventure, Animation, Comedy	5.6
130	Bedazzled (2000)	Comedy, Fantasy, Romance	7
131	Kites (2010)	Drama	NO DATA
132	Ted 2 (2015)	Comedy	6.3
133	Keloglan kara prens'e karsi (2006)	NO DATA	NO DATA
134	National Lampoon Presents Dorm Daze (2004)	NO DATA	NO DATA
135	Trekkies (2002)	Documentary	7
136	The Other Guys (2010)	Action, Adventure, Drama	8.3
137	Judy Moody and the Not Bummer Summer (2011)	Comedy, Family	4.2
138	Mr. Peabody & Sherman (2014)	Adventure, Animation, Comedy	6.8
139	See prang (2008)	Drama, Horror, Mystery	6.7
140	Inspector George Gently (2007)	Crime, Drama, Mystery	7.9
141	Nice Guy Johnny (2010)	Comedy, Romance	6.3
142	Wyvern (2009)	Action, Fantasy, Horror	4.8
143	Exporting Raymond (2010)	Comedy, Documentary	6.9
144	1920 Bitwa Warszawska (2011)	Drama, History, Musical	4.2
145	Frits en Freddy (2010)	Comedy	6.4
146	For da Love of Money (2002)	Comedy	4.6
147	Johnny (2010)	NO DATA	NO DATA
148	The Science of Doctor Who (2013)	Documentary	8.2
149	Missed Connections (2012)	Drama, Romance	6.3
150	The Science of Doctor Who (2012)	Documentary	8.2
151	Bark Ranger (2015)	Family	4.6
152	Hwiparam gongju (2002)	Comedy	3.6
153	Fanboys (2009)	Comedy, Short	6.7
154	Dirty Work (1998)	Comedy, Sci-Fi, Short	7.6
155	Space Chimps (2008)	Adventure, Animation, Comedy	4.5
156	Gone Fishin' (1997)	Comedy, Crime	4.7
157	Kronk's New Groove (2005)	Animation, Comedy, Family	5.9
158	All Cheerleaders Die (2014)	Horror	5.1
159	Who's Your Daddy? (2005)	Comedy	4.8
160	Camp Rock (2008)	Comedy, Family, Music	5.1
161	Beneath the Blue (2010)	Drama	5.4
162	The Starving Games (2013)	Comedy	3.3
163	Irene Huss - Det lömska nätet (2013)	NO DATA	NO DATA
164	August Evening (2007)	Drama	7
165	Die Reise ins Glück (2005)	Fantasy	6.3
166	A Very Brady Sequel (1996)	Comedy	5.6
167	Zombieland (2013)	Adventure, Comedy, Horror	7.7
168	"America's Next Top Model" The Girl Who Walks Away (2015)	NO DATA	NO DATA
169	Scooby-Doo! Curse of the Lake Monster (2010)	Adventure, Animation, Comedy	5.2
170	Last Ounce of Courage (2012)	Drama, War	4.1
171	Intramural (2015)	Crime, Drama, Thriller	8.2
172	Barbie in Princess Power (2015)	Animation, Family, Fantasy	5.7
173	Selestenje (2002)	Drama	6.7
174	Duplicity (2009)	Comedy, Short	NO DATA
175	Half Past Dead 2 (2007)	Action, Crime	4.6
176	Waiting for Guffman (1997)	Comedy	7.6
177	Connie and Carla (2004)	Comedy, Crime, Music	6.3
178	Equilibrium (2003)	Action, Drama, Sci-Fi	7.5
179	The A-Team (2010)	Action, Adventure, Crime	7.6
180	Flags of Our Fathers (2006)	Drama, History, War	7.1
181	22 Jump Street (2014)	Action, Comedy, Crime	7
182	The Ninth Gate (1999)	Mystery, Thriller	6.7
183	Windtalkers (2002)	Action, Drama, War	6
184	Celtic Pride (1996)	Comedy, Sport	5.2
185	Tokyo! (2008)	Comedy, Drama, Fantasy	7.1
186	Max Keeble's Big Move (2001)	Comedy, Crime, Family	5.4
187	Wicked (2001)	Drama	6.1
188	Der Schuh des Manitu (2001)	Comedy, Western	6.6
189	Caught in the Crossfire (2012)	Documentary	NO DATA
190	Kinky Boots (2006)	Comedy, Drama, Music	7.1
191	Jinxed (2013)	Short	NO DATA
192	Silent Warnings (2003)	Horror, Sci-Fi, Thriller	4
193	Toy Story 2 (1999)	Adventure, Animation, Comedy	7.9
194	Balls of Fury (2007)	Comedy, Crime, Sport	5.3
195	BloodRayne (2006)	Action, Adventure, Horror	7.4
196	I Love You, Beth Cooper (2009)	NO DATA	NO DATA
197	Pokémon (1998)	Action, Adventure, Animation	7.5
198	The Order (2003)	Drama	NO DATA
199	The Flintstones in Viva Rock Vegas (2000)	Comedy, Family, Romance	3.6
200	Erufen rîto (2004)	Animation, Drama, Horror	8.1
201	Fat Albert (2004)	Comedy, Family, Fantasy	4.3
202	In Darkness (2012)	Fantasy, Short	NO DATA
203	Kizzu ritân (1996)	Crime, Drama, Sport	7.6
204	Doogal (2006)	Adventure, Animation, Comedy	2.8
205	Sommer vorm Balkon (2006)	Drama	7
206	The Magic Roundabout (2005)	NO DATA	6.2
207	Crossworlds (1997)	Action, Comedy, Sci-Fi	5.3
208	Chihwaseon (2002)	Biography, Drama, History	7.3
209	Aladin (2009)	Short	6.1
210	À cause d'un garçon (2002)	Drama, Romance, Sport	6.6
211	Femmine contro maschi (2011)	Comedy	5.4
212	Die geliebten Schwestern (2014)	Drama, History, Romance	6.1
213	Pescuit sportiv (2009)	Drama	7.1
214	Ao no hono-o (2003)	Crime, Drama, Romance	7.3
215	Disarmed (2010)	Drama, Short	7.4
216	Russell Madness (2015)	Family	4.2
217	Attention Shoppers (2000)	Comedy	5.1
218	Baan Chan Talok Wai Gon (2010)	Comedy, Drama	7.1
219	Geol seukauteu (2008)	Comedy	5.6
220	The Sin Eater (1997)	Short	7
221	Wizard World Chicago 2002 (2002)	Documentary	NO DATA
222	Johnny Bravo (1997)	Animation, Comedy, Family	7.3
223	Reconstruction (2003)	Documentary, Short	8.6
224	Goemon (2009)	Action, Drama, History	6.7
225	Romy and Michele's High School Reunion (1997)	Comedy	6.2
226	Naege Geotjitmaleul Haebwa (2011)	Comedy, Drama, Romance	7.4
227	Zerachin shirubâ love (2009)	Thriller	6.2
228	Miss March (2009)	Comedy, Romance	5
229	The Devil and Daniel Johnston (2006)	Biography, Documentary, Music	8
230	50 First Dates (2004)	Comedy, Drama, Romance	6.8
231	SAGA - Curse of the Shadow (2013)	Action, Adventure, Fantasy	5
232	Tom Brown's Schooldays (2005)	Drama	6
233	Piano no mori (2007)	Animation, Drama, Family	7.1
234	Gekijoban Poketto Monsuta besuto uisshu bikutini to kuroki eiyu zekuromu (2011)	Adventure, Animation, Drama	6.1
235	Meet Dave (2008)	Adventure, Comedy, Family	4.9
236	The Power Within (1995)	NO DATA	NO DATA
237	Albert (1998)	Adventure, Family	5.1
238	Ardena (1997)	NO DATA	5.1
239	Khamsa (2008)	Drama	6.7
240	Eric & Ernie (2011)	Drama	8
241	Sha shou Ouyang Penzai (2011)	Comedy, Crime, Romance	4.9
242	Frankenstein's Army (2013)	Horror	5.3
243	George Lucas in Love (1999)	Comedy, Romance, Short	7.6
244	1 1/2 Ritter - Auf der Suche nach der hinreißenden Herzelinde (2008)	Comedy	3.6
245	De fortabte sjæles ø (2007)	Action, Adventure, Family	5.7
246	Su-ki-da (2006)	Drama, Romance	7.2
247	Teufelskicker (2010)	Comedy, Family, Sport	5.3
248	Cafundó (2005)	Biography, Drama, History	6.7
249	Neko zamurai (2014)	Comedy, History	6.4
250	Holiday Celebration on Ice 2005 (2005)	Music, Sport	NO DATA
251	Im Juli. (2000)	NO DATA	NO DATA
252	ATL (2006)	Comedy, Crime, Drama	6
253	Buck Wild (2014)	Comedy, Crime, Romance	5.9
254	The History Boys (2006)	Comedy, Drama, Romance	6.9
255	Die Stille nach dem Schuß (2000)	Drama, Romance	7
256	Aakhari Decision (2010)	Action, Drama, Thriller	6
257	Karol, un uomo diventato Papa (2005)	NO DATA	NO DATA
258	Nam Man Prai (2014)	Horror	5
259	A Religiosa Portuguesa (2009)	Drama	6.6
260	Lluvia (2010)	Drama, Romance, Short	8.5
261	Jo Hum Chahein (2011)	Drama, Romance	5.4
262	Be-Careful (2011)	Comedy, Crime, Drama	3.1
263	Hvidsten gruppen (2012)	Drama, War	6.6
264	Aakrosh (2010)	Drama, Mystery, Thriller	8
265	Gudseura Geum-suna (2002)	Drama	6.6
266	La bella gente (2015)	Drama	6.7
267	Moteki (2011)	Comedy	7.9
268	Bokmyeon dalho (2007)	Comedy	6.5
269	Baat seng bou hei (2012)	Comedy	6.4
270	Politiki kouzina (2003)	Comedy, Drama	7.6
271	Ye shou zhi tong (2001)	Action, Drama	6.1
272	Mr. Medhavi (2008)	Drama, Romance	6.1
273	Khoht-rak-eng-loei (2006)	Comedy, Drama, Romance	7
274	Black Power Salute (2008)	Documentary, Sport	7.5
275	Rey (2015)	Reality-TV	NO DATA
